ID,SEX,EDUCATION,MARRIAGE,AGE,LIMIT_BAL,default
100097,1,1,1,40,450000,1
100098,2,1,1,48,110000,0
100099,2,2,1,35,310000,1
100100,1,1,2,27,20000,0
100101,1,1,1,36,180000,1
100102,2,1,2,23,30000,0
100103,1,1,2,41,240000,0
100104,1,2,1,34,420000,0
100105,1,3,1,46,330000,0
100106,1,2,1,34,240000,0
100107,1,1,2,27,150000,0
100108,2,2,1,33,210000,0
100109,2,3,1,51,50000,1
100110,1,1,2,47,240000,1
100111,1,2,2,23,50000,0
100112,1,2,2,29,170000,0
100113,1,1,2,29,20000,0
100114,1,1,2,28,50000,0
100115,2,2,2,27,170000,1
100116,1,1,2,34,200000,0
100117,2,2,1,23,80000,0
100118,2,1,1,60,260000,0
100119,1,2,1,32,140000,0
100120,1,1,2,25,80000,0
100121,1,1,2,41,350000,0
100122,1,1,1,34,140000,0
100123,2,1,2,37,200000,0
100124,2,3,2,30,200000,0
100125,1,3,1,57,50000,0
100126,1,1,2,41,30000,0
100127,1,2,2,27,50000,0
100128,2,1,1,34,250000,0
100129,2,2,1,46,60000,0
100130,2,1,2,27,110000,0
100131,1,1,2,50,370000,0
100132,1,2,1,27,100000,0
100133,2,2,1,35,90000,0
100134,2,2,2,22,50000,0
100135,1,2,2,37,270000,0
100136,2,1,2,30,300000,0
100137,2,2,2,22,50000,0
100138,2,1,2,24,50000,1
100139,1,1,2,29,360000,0
100140,1,1,2,30,80000,0
100141,1,2,2,30,50000,0
100142,2,2,1,29,80000,0
100143,1,1,2,37,240000,0
100144,2,3,2,35,80000,0
100145,2,1,1,47,500000,0
100146,2,2,1,24,60000,1
100147,1,2,2,25,20000,0
100148,2,2,1,38,100000,1
100149,2,1,2,32,360000,0
100150,2,3,2,47,200000,1
100151,2,2,1,34,130000,0
100152,2,2,2,31,20000,0
100153,1,1,2,32,310000,0
100154,2,1,2,27,60000,1
100155,2,1,2,29,180000,0
100156,2,1,2,24,180000,0
100157,1,2,1,36,50000,0
100158,2,1,2,24,50000,1
100159,2,2,1,34,150000,0
100160,2,1,2,22,20000,0
100161,2,3,2,22,30000,1
100162,2,1,1,38,180000,0
100163,1,1,2,31,140000,0
100164,2,1,2,26,140000,0
100165,2,2,1,48,360000,0
100166,1,3,1,43,20000,0
100167,1,1,1,47,100000,0
100168,2,2,1,41,210000,1
100169,2,2,2,24,80000,1
100170,2,1,1,50,330000,0
100171,1,1,2,24,220000,0
100172,2,3,1,43,40000,0
100173,1,2,2,39,30000,0
100174,2,2,1,36,240000,1
100175,1,2,2,36,80000,0
100176,2,3,0,31,110000,0
100177,2,1,2,38,310000,0
100178,2,3,2,45,330000,0
100179,2,2,2,35,300000,0
100180,2,2,2,33,320000,0
100181,2,3,2,37,50000,1
100182,2,1,2,28,170000,0
100183,1,3,1,44,350000,0
100184,1,2,1,37,20000,0
100185,1,2,2,23,50000,1
100186,2,3,2,24,20000,0
100187,2,1,2,24,50000,0
100188,1,2,1,26,50000,0
100189,2,2,1,33,60000,0
100190,1,1,2,35,80000,0
100191,2,1,2,31,210000,0
100192,2,3,1,50,240000,1
100193,2,1,2,28,60000,0
100194,1,1,2,39,50000,0
100195,2,2,2,27,50000,0
100196,2,1,2,32,180000,0
100197,2,1,2,40,30000,0
100198,2,2,2,40,20000,0
100199,2,2,1,75,250000,0
100200,2,2,2,27,100000,0
100201,1,1,2,25,330000,0
100202,1,3,1,46,50000,0
100203,1,2,2,28,30000,0
100204,2,2,2,26,140000,1
100205,2,2,2,29,400000,0
100206,1,2,1,25,50000,0
100207,2,2,1,33,160000,0
100208,2,3,1,43,100000,0
100209,1,1,1,48,220000,1
100210,2,1,2,29,510000,0
100211,1,2,2,29,50000,0
100212,2,1,1,38,160000,0
100213,2,1,2,37,230000,0
100214,2,1,2,37,80000,0
100215,2,2,1,25,150000,0
100216,1,3,2,23,10000,0
100217,2,3,2,49,130000,1
100218,2,1,2,48,40000,0
100219,1,1,1,34,120000,0
100220,2,1,2,58,260000,1
100221,2,2,2,33,200000,0
100222,2,2,2,28,360000,1
100223,2,2,2,36,70000,0
100224,1,1,1,40,460000,1
100225,2,1,2,26,50000,0
100226,1,3,1,33,50000,0
100227,2,2,1,31,250000,0
100228,2,1,2,27,30000,0
100229,1,2,1,44,270000,0
100230,2,1,2,28,100000,0
100231,2,3,1,32,230000,0
100232,2,1,1,46,210000,0
100233,2,2,1,46,440000,0
100234,2,2,2,25,100000,1
100235,2,2,1,46,240000,0
100236,1,1,2,33,280000,1
100237,2,2,2,22,50000,1
100238,1,2,1,43,30000,0
100239,1,2,2,27,10000,1
100240,1,1,2,29,130000,0
100241,1,1,2,31,200000,0
100242,2,2,1,29,120000,0
100243,2,2,1,36,210000,0
100244,2,1,1,36,280000,0
100245,1,1,2,34,300000,1
100246,1,2,2,37,100000,0
100247,2,1,2,36,440000,0
100248,2,1,2,27,200000,0
100249,2,2,2,26,110000,0
100250,2,2,1,36,500000,0
100251,2,1,2,27,60000,0
100252,2,2,1,38,400000,0
100253,2,2,1,34,180000,0
100254,2,3,1,49,200000,1
100255,2,2,2,36,110000,0
100256,2,3,1,53,260000,0
100257,2,3,1,46,50000,0
100258,1,2,2,29,180000,0
100259,1,2,2,24,50000,0
100260,2,2,1,28,230000,1
100261,1,2,2,43,210000,0
100262,2,2,1,41,220000,1
100263,2,2,1,34,60000,1
100264,1,2,1,55,340000,0
100265,2,2,1,37,200000,1
100266,2,2,2,40,130000,1
100267,2,1,2,28,60000,0
100268,1,1,2,27,20000,0
100269,2,2,2,31,140000,0
100270,2,2,1,31,50000,1
100271,2,1,2,34,120000,0
100272,2,2,2,30,240000,0
100273,1,2,2,36,50000,0
100274,2,1,2,29,200000,0
100275,1,1,1,39,180000,0
100276,2,1,2,26,180000,0
100277,2,2,2,29,50000,1
100278,1,1,2,26,90000,0
100279,1,1,1,36,200000,0
100280,1,1,2,30,380000,1
100281,2,2,2,43,80000,0
100282,1,2,1,45,180000,1
100283,1,2,2,34,380000,0
100284,2,4,2,24,110000,0
100285,1,1,1,34,260000,0
100286,2,2,2,30,320000,0
100287,1,2,2,32,50000,0
100288,1,1,1,40,110000,1
100289,2,2,1,61,50000,0
100290,1,2,2,24,10000,0
100291,1,2,1,36,180000,1
100292,1,1,2,30,160000,0
100293,2,1,2,34,90000,0
100294,1,3,3,54,30000,0
100295,1,1,1,46,180000,0
100296,1,3,1,58,30000,0
100297,1,2,1,43,30000,0
100298,2,1,2,28,140000,0
100299,1,1,2,30,210000,0
100300,1,2,2,31,50000,1
100301,2,2,2,29,130000,0
100302,1,3,1,36,140000,0
100303,2,2,2,28,170000,1
100304,1,2,2,25,80000,0
100305,2,5,1,42,410000,0
100306,1,3,1,73,80000,1
100307,1,1,1,30,260000,1
100308,1,1,1,38,350000,0
100309,2,2,1,39,280000,1
100310,2,2,2,29,140000,0
100311,1,1,1,51,360000,0
100312,2,1,2,27,140000,0
100313,1,1,2,38,100000,0
100314,2,2,1,30,210000,0
100315,2,2,2,25,120000,0
100316,2,3,3,42,60000,0
100317,1,1,2,41,150000,1
100318,1,2,1,48,30000,0
100319,2,2,1,25,120000,0
100320,2,1,2,27,320000,0
100321,1,1,2,31,280000,0
100322,2,1,2,23,60000,1
100323,2,1,1,38,200000,0
100324,2,1,1,32,230000,0
100325,2,2,2,27,230000,1
100326,2,3,1,41,480000,0
100327,2,3,1,35,50000,0
100328,2,1,2,31,200000,0
100329,2,1,2,30,50000,0
100330,2,1,2,36,260000,1
100331,1,1,2,24,30000,0
100332,2,1,2,29,440000,0
100333,2,2,2,38,230000,0
100334,1,2,1,38,200000,1
100335,2,2,1,30,490000,0
100336,2,3,2,49,20000,1
100337,2,1,2,31,170000,1
100338,1,1,2,27,70000,0
100339,2,2,2,33,210000,0
100340,2,2,2,25,90000,0
100341,2,1,2,27,390000,1
100342,2,1,2,29,110000,0
100343,2,1,1,36,580000,0
100344,1,3,1,55,360000,0
100345,2,2,1,32,270000,1
100346,2,1,2,27,60000,0
100347,1,3,1,37,110000,0
100348,2,1,1,25,50000,0
100349,2,1,2,23,80000,1
100350,1,2,2,23,50000,0
100351,1,1,2,32,100000,0
100352,2,1,2,27,200000,0
100353,1,1,2,44,240000,1
100354,1,2,2,34,220000,0
100355,2,1,2,28,160000,0
100356,2,1,1,53,180000,0
100357,1,4,1,42,200000,0
100358,2,3,1,30,140000,0
100359,1,1,1,51,380000,1
100360,1,2,2,37,260000,0
100361,2,1,2,26,200000,0
100362,1,2,2,42,80000,0
100363,1,2,2,39,40000,0
100364,1,3,2,39,130000,0
100365,1,1,2,32,50000,0
100366,2,2,1,41,230000,0
100367,1,2,1,48,70000,1
100368,2,2,1,38,180000,0
100369,2,2,1,36,80000,0
100370,2,2,2,26,290000,0
100371,2,1,2,28,230000,0
100372,2,3,3,56,170000,0
100373,1,1,1,59,230000,1
100374,1,1,2,38,220000,1
100375,1,2,2,32,230000,0
100376,1,2,1,38,500000,0
100377,2,1,1,41,90000,0
100378,2,3,2,35,390000,1
100379,2,2,2,41,400000,0
100380,2,2,1,32,120000,0
100381,2,2,2,29,60000,0
100382,1,1,2,44,50000,0
100383,2,2,1,37,70000,0
100384,2,1,1,38,500000,0
100385,1,1,2,31,200000,0
100386,2,2,1,40,250000,0
100387,1,2,2,26,140000,1
100388,2,2,2,28,70000,0
100389,1,3,1,48,90000,0
100390,2,2,1,43,100000,0
100391,1,2,1,31,190000,0
100392,2,1,1,42,230000,0
100393,2,2,1,36,220000,1
100394,2,2,2,32,90000,0
100395,1,2,2,30,260000,0
100396,2,1,1,28,80000,1
100397,1,1,1,41,50000,0
100398,2,3,2,47,200000,0
100399,1,2,2,23,20000,0
100400,1,1,1,38,20000,0
100401,2,2,1,38,30000,0
100402,2,2,1,35,90000,0
100403,2,6,2,46,230000,0
100404,2,1,1,33,130000,1
100405,1,6,1,53,30000,0
100406,1,1,2,35,160000,0
100407,2,2,2,43,500000,0
100408,2,2,2,28,180000,0
100409,2,2,1,30,80000,0
100410,1,1,2,26,120000,0
100411,1,2,1,31,130000,0
100412,2,2,2,35,120000,1
100413,1,1,2,28,360000,0
100414,2,2,2,23,20000,0
100415,1,3,1,56,100000,0
100416,1,3,1,32,70000,0
100417,1,2,1,47,50000,0
100418,2,1,1,34,290000,0
100419,2,2,2,27,410000,0
100420,1,1,2,28,360000,1
100421,2,2,1,42,140000,1
100422,2,1,2,32,210000,0
100423,2,2,2,27,220000,0
100424,1,1,2,26,360000,0
100425,2,2,2,21,20000,0
100426,1,2,2,23,50000,0
100427,1,2,3,30,50000,0
100428,1,2,2,46,10000,1
100429,2,3,1,50,100000,1
100430,1,1,2,26,50000,0
100431,1,2,2,25,60000,0
100432,2,1,2,35,440000,0
100433,1,2,1,44,120000,0
100434,2,1,2,52,50000,0
100435,2,2,1,40,110000,0
100436,2,1,2,28,150000,0
100437,2,2,1,36,30000,1
100438,2,1,2,24,100000,0
100439,2,1,1,34,360000,0
100440,2,1,2,31,390000,0
100441,2,1,1,41,220000,1
100442,2,2,2,25,160000,0
100443,2,1,2,28,230000,0
100444,1,3,1,52,100000,1
100445,2,1,2,41,190000,1
100446,1,1,1,56,50000,1
100447,2,1,1,42,240000,0
100448,2,2,2,24,40000,0
100449,2,2,1,47,630000,0
100450,2,1,1,33,160000,0
100451,2,3,1,53,210000,0
100452,1,1,2,34,270000,0
100453,2,2,2,52,360000,0
100454,2,2,1,42,60000,0
100455,1,2,2,38,360000,0
100456,2,1,2,45,390000,0
100457,2,3,2,35,250000,0
100458,2,1,2,24,90000,1
100459,1,1,2,28,360000,0
100460,2,1,2,29,200000,0
100461,2,2,2,23,50000,0
100462,1,1,2,33,350000,0
100463,2,2,2,60,160000,1
100464,2,3,1,49,80000,0
100465,1,1,1,53,290000,1
100466,2,1,2,28,270000,0
100467,1,1,2,31,80000,0
100468,1,2,2,36,50000,0
100469,1,2,1,35,30000,0
100470,1,1,2,26,160000,0
100471,2,3,2,53,80000,0
100472,2,1,2,25,20000,0
100473,1,1,1,43,220000,1
100474,1,3,2,25,210000,1
100475,2,2,1,31,260000,0
100476,2,1,1,30,230000,0
100477,1,1,1,35,50000,0
100478,1,1,1,43,200000,0
100479,1,2,2,29,360000,0
100480,2,3,2,31,210000,0
100481,2,2,2,24,80000,0
100482,2,2,1,36,300000,1
100483,2,2,1,43,310000,0
100484,1,3,1,59,30000,1
100485,1,1,1,53,170000,0
100486,2,2,2,28,140000,0
100487,2,2,2,31,180000,0
100488,1,1,2,34,50000,0
100489,2,1,2,24,110000,0
100490,2,3,1,36,450000,0
100491,1,1,2,43,220000,0
100492,2,1,2,29,360000,1
100493,1,2,1,37,50000,0
100494,2,2,1,37,190000,0
100495,1,1,2,33,150000,0
100496,2,2,1,56,270000,0
100497,1,1,2,25,60000,0
100498,2,2,1,39,200000,0
100499,2,2,1,39,150000,0
100500,2,2,2,28,180000,0
100501,2,1,2,27,90000,0
100502,2,2,1,37,360000,0
100503,2,1,2,24,90000,0
100504,2,2,2,24,20000,0
100505,1,1,1,46,70000,0
100506,1,3,1,48,30000,0
100507,2,3,3,45,200000,0
100508,1,3,2,49,100000,0
100509,2,2,2,23,50000,0
100510,2,3,1,25,20000,0
100511,2,2,1,47,210000,0
100512,1,3,1,56,110000,0
100513,2,3,1,44,20000,0
100514,1,2,1,41,50000,0
100515,2,1,2,40,400000,0
100516,1,2,2,31,170000,0
100517,1,2,1,42,280000,0
100518,2,3,1,28,130000,0
100519,2,2,2,32,210000,0
100520,1,2,2,28,370000,0
100521,2,2,1,31,30000,0
100522,1,3,1,31,60000,1
100523,2,2,2,24,80000,0
100524,2,2,1,44,280000,1
100525,2,2,2,46,20000,0
100526,1,1,2,32,270000,0
100527,2,2,2,26,240000,0
100528,2,1,2,22,20000,0
100529,2,1,1,42,450000,1
100530,1,2,2,33,10000,0
100531,1,2,1,39,280000,1
100532,2,1,2,28,190000,1
100533,2,1,2,23,80000,0
100534,2,2,2,28,280000,0
100535,2,1,1,33,160000,0
100536,1,2,1,40,90000,1
100537,2,1,2,37,140000,0
100538,1,1,2,22,50000,0
100539,2,2,1,32,40000,0
100540,2,3,1,43,130000,0
100541,2,2,1,35,30000,0
100542,2,3,1,35,100000,0
100543,2,1,1,30,20000,1
100544,1,2,1,34,20000,1
100545,2,1,2,28,100000,1
100546,1,2,2,25,30000,1
100547,2,1,1,41,320000,0
100548,1,3,2,42,90000,1
100549,1,2,2,40,190000,1
100550,1,1,2,28,200000,0
100551,2,2,2,31,300000,0
100552,2,1,2,56,30000,0
100553,2,2,3,45,110000,0
100554,2,1,2,29,230000,0
100555,2,1,1,35,230000,0
100556,2,2,2,28,310000,0
100557,1,1,1,40,320000,0
100558,2,3,1,41,20000,1
100559,2,2,2,27,170000,0
100560,1,1,1,40,140000,0
100561,1,2,2,32,80000,0
100562,1,2,2,35,150000,0
100563,1,2,2,27,170000,0
100564,1,1,2,30,70000,0
100565,1,2,1,37,320000,0
100566,2,1,2,29,150000,0
100567,2,1,1,34,50000,0
100568,2,2,2,34,90000,0
100569,2,1,2,31,300000,0
100570,2,2,2,40,400000,0
100571,2,1,1,27,200000,0
100572,2,2,3,22,30000,0
100573,1,1,2,26,50000,1
100574,1,2,1,38,50000,0
100575,1,2,2,24,20000,0
100576,1,1,3,49,50000,0
100577,2,2,1,42,30000,0
100578,2,1,1,30,360000,0
100579,1,2,1,42,170000,0
100580,2,1,2,31,400000,0
100581,2,2,2,27,160000,0
100582,2,2,1,33,70000,1
100583,2,1,1,35,150000,0
100584,2,2,2,48,80000,0
100585,2,2,2,22,30000,0
100586,2,1,2,27,180000,0
100587,1,1,1,47,320000,0
100588,2,2,2,34,80000,0
100589,1,2,1,45,10000,1
100590,2,2,2,39,360000,0
100591,1,2,2,33,450000,0
100592,2,2,2,29,330000,0
100593,1,1,2,29,60000,1
100594,2,3,2,26,50000,0
100595,1,2,1,38,200000,0
100596,1,1,2,34,120000,0
100597,2,1,1,37,160000,0
100598,2,3,1,50,70000,0
100599,2,2,2,25,80000,1
100600,2,2,1,33,170000,0
100601,2,1,2,30,110000,0
100602,1,1,2,51,70000,0
100603,2,2,1,46,260000,0
100604,1,3,2,38,170000,0
100605,2,3,1,34,300000,1
100606,2,1,2,31,150000,1
100607,2,2,2,25,50000,1
100608,2,1,2,25,90000,0
100609,1,2,2,26,50000,1
100610,2,2,2,43,500000,0
100611,2,2,1,36,470000,0
100612,2,2,2,26,140000,0
100613,2,2,1,30,230000,1
100614,2,2,2,31,420000,0
100615,2,2,2,24,30000,0
100616,2,2,2,52,50000,1
100617,2,2,1,35,260000,0
100618,2,3,2,29,90000,0
100619,2,2,1,33,240000,0
100620,2,1,2,35,510000,0
100621,2,2,1,35,110000,0
100622,1,2,1,40,220000,0
100623,2,1,1,35,200000,0
100624,2,2,2,53,360000,0
100625,1,1,2,44,260000,0
100626,2,2,1,32,120000,0
100627,2,1,2,26,60000,0
100628,1,1,2,26,200000,0
100629,1,2,2,26,20000,0
100630,2,1,1,32,50000,1
100631,2,2,2,31,50000,0
100632,1,1,2,29,230000,0
100633,2,1,2,28,100000,1
100634,2,1,1,42,210000,1
100635,2,2,1,32,230000,1
100636,2,1,2,26,500000,0
100637,2,1,2,38,370000,0
100638,2,1,1,35,230000,0
100639,1,2,2,29,80000,0
100640,2,2,2,51,30000,0
100641,1,1,2,27,70000,0
100642,2,3,1,40,280000,0
100643,2,1,1,34,50000,0
100644,2,2,1,30,100000,0
100645,2,1,2,29,230000,0
100646,2,1,2,22,50000,0
100647,2,1,2,48,100000,0
100648,2,2,1,35,210000,0
100649,1,1,2,37,400000,0
100650,1,2,2,25,20000,1
100651,2,1,1,36,300000,0
100652,2,3,2,36,20000,1
100653,2,1,2,26,190000,0
100654,2,2,0,37,160000,0
100655,2,1,3,44,120000,0
100656,2,1,1,39,700000,0
100657,2,1,2,24,140000,0
100658,2,3,1,29,300000,0
100659,1,3,1,33,120000,1
100660,2,3,2,24,20000,0
100661,2,2,1,45,150000,0
100662,1,1,2,30,60000,0
100663,2,3,0,51,200000,0
100664,2,2,2,24,50000,1
100665,1,2,1,50,150000,0
100666,2,1,2,22,20000,0
100667,1,1,2,27,40000,1
100668,2,2,2,33,170000,0
100669,2,2,1,24,50000,0
100670,1,2,2,37,10000,0
100671,2,2,1,58,200000,0
100672,2,2,1,48,50000,0
100673,1,1,2,28,320000,0
100674,2,3,1,24,20000,0
100675,2,2,1,27,470000,1
100676,2,1,2,23,20000,0
100677,2,3,2,53,30000,1
100678,2,2,2,23,80000,0
100679,1,2,1,34,420000,0
100680,1,1,1,43,500000,1
100681,2,2,2,22,80000,0
100682,2,2,1,31,350000,0
100683,2,2,1,32,30000,0
100684,1,3,1,39,500000,0
100685,2,1,1,38,490000,0
100686,2,2,1,34,300000,0
100687,1,2,3,42,50000,1
100688,2,3,1,57,80000,0
100689,2,2,2,23,40000,0
100690,1,2,2,32,30000,0
100691,1,1,1,37,50000,0
100692,2,2,2,23,140000,0
100693,2,3,2,49,50000,0
100694,2,1,2,29,40000,1
100695,1,2,2,29,130000,0
100696,1,1,2,26,50000,0
100697,1,1,1,41,260000,0
100698,2,3,2,52,30000,1
100699,2,2,1,31,10000,0
100700,1,1,2,32,200000,0
100701,2,2,2,35,180000,0
100702,1,1,2,35,100000,0
100703,2,2,1,39,140000,0
100704,2,3,1,40,80000,0
100705,2,3,1,38,500000,0
100706,1,1,1,45,180000,0
100707,2,3,1,40,20000,0
100708,2,2,1,25,30000,0
100709,1,1,2,33,150000,0
100710,2,2,2,27,280000,0
100711,2,2,1,43,20000,0
100712,1,1,2,30,200000,0
100713,2,2,1,49,210000,1
100714,2,2,2,23,70000,0
100715,2,2,1,30,180000,0
100716,2,2,2,24,90000,0
100717,1,2,2,28,390000,0
100718,1,2,2,37,400000,0
100719,2,2,1,32,80000,0
100720,1,1,2,27,320000,0
100721,2,2,1,37,240000,1
100722,1,1,2,31,200000,0
100723,1,1,3,55,110000,1
100724,2,3,3,51,90000,1
100725,1,1,2,30,360000,0
100726,2,1,1,36,140000,0
100727,1,2,2,25,220000,0
100728,2,2,2,40,80000,0
100729,2,2,2,27,30000,0
100730,1,1,2,30,50000,1
100731,2,2,2,26,120000,0
100732,1,1,2,27,50000,0
100733,2,1,2,25,90000,0
100734,1,1,2,32,500000,0
100735,1,3,1,45,30000,0
100736,1,1,1,39,200000,0
100737,1,1,1,48,350000,0
100738,2,1,2,33,260000,0
100739,1,1,1,40,110000,0
100740,2,1,2,24,20000,0
100741,2,2,2,24,30000,0
100742,1,1,2,27,180000,1
100743,2,2,2,22,50000,0
100744,2,1,2,36,180000,0
100745,1,1,1,34,200000,0
100746,2,2,2,24,260000,0
100747,2,2,2,29,160000,1
100748,1,2,2,32,30000,1
100749,1,2,2,30,50000,0
100750,2,2,2,29,90000,0
100751,1,1,2,34,240000,0
100752,2,2,1,32,180000,1
100753,2,2,1,32,200000,0
100754,2,1,2,25,50000,0
100755,1,2,1,44,50000,0
100756,2,1,1,37,330000,0
100757,2,2,2,24,80000,1
100758,2,2,2,23,50000,0
100759,2,1,2,29,360000,0
100760,2,2,1,37,240000,0
100761,1,2,1,59,50000,0
100762,1,2,2,33,470000,0
100763,2,3,1,51,160000,0
100764,1,1,1,27,30000,1
100765,2,2,1,32,80000,0
100766,2,3,2,42,500000,0
100767,1,2,2,39,180000,0
100768,2,2,1,46,110000,0
100769,1,1,1,41,160000,0
100770,2,1,1,34,200000,1
100771,1,1,2,35,350000,0
100772,1,1,2,41,250000,1
100773,1,1,2,43,380000,1
100774,1,2,2,47,30000,0
100775,1,2,2,31,200000,0
100776,1,2,2,30,30000,0
100777,1,2,2,24,50000,0
100778,1,1,1,36,500000,0
100779,1,1,2,28,30000,0
100780,2,1,1,36,220000,0
100781,2,2,1,27,20000,0
100782,2,2,1,32,180000,0
100783,1,1,1,42,300000,1
100784,2,2,1,33,130000,0
100785,2,3,1,39,180000,1
100786,1,2,1,30,140000,1
100787,2,2,2,22,50000,0
100788,1,2,2,25,20000,1
100789,1,2,2,26,180000,1
100790,2,3,1,54,150000,0
100791,2,1,2,24,70000,0
100792,1,2,2,29,30000,0
100793,1,1,2,36,500000,1
100794,1,3,1,49,60000,0
100795,2,1,2,23,50000,0
100796,1,3,2,43,130000,1
100797,2,2,1,33,260000,0
100798,1,3,1,53,380000,0
100799,2,2,2,25,360000,0
100800,1,3,1,54,50000,0
100801,2,3,1,39,50000,0
100802,2,1,1,44,260000,1
100803,2,2,2,27,80000,0
100804,2,1,2,25,360000,1
100805,2,1,2,29,290000,1
100806,1,1,2,39,200000,0
100807,1,1,1,45,140000,0
100808,1,1,1,38,360000,1
100809,2,2,2,23,50000,1
100810,1,2,2,25,120000,0
100811,1,2,1,29,100000,0
100812,2,2,1,28,200000,0
100813,2,2,1,40,90000,0
100814,2,3,2,30,150000,1
100815,1,1,2,29,140000,0
100816,2,2,2,36,200000,0
100817,2,2,1,37,170000,0
100818,1,2,2,34,30000,0
100819,1,1,2,31,280000,0
100820,2,1,1,31,410000,0
100821,1,1,2,38,450000,0
100822,1,2,2,36,80000,0
100823,1,1,1,46,360000,0
100824,2,1,1,36,130000,0
100825,2,1,2,26,160000,1
100826,2,3,2,57,140000,1
100827,2,3,1,40,240000,0
100828,2,3,0,45,180000,0
100829,2,2,2,25,150000,0
100830,2,3,1,37,210000,0
100831,2,1,1,35,200000,0
100832,1,1,1,38,180000,0
100833,1,2,2,31,300000,0
100834,2,1,2,41,450000,0
100835,1,1,2,33,200000,0
100836,2,2,1,67,30000,1
100837,2,1,1,40,400000,0
100838,1,1,2,33,170000,0
100839,2,2,3,39,60000,0
100840,1,2,2,27,60000,1
100841,1,1,2,23,150000,0
100842,1,3,1,54,180000,1
100843,2,3,2,23,50000,0
100844,1,3,2,24,50000,0
100845,2,2,1,42,110000,0
100846,2,1,2,36,90000,0
100847,2,1,2,22,20000,1
100848,1,3,1,30,220000,1
100849,2,3,2,24,140000,1
100850,2,1,1,42,300000,0
100851,1,2,1,49,100000,0
100852,1,2,2,31,110000,0
100853,2,3,2,33,270000,0
100854,1,1,1,42,30000,0
100855,1,3,2,41,70000,0
100856,1,2,1,53,230000,0
100857,1,2,2,23,20000,0
100858,2,1,2,33,190000,0
100859,2,2,1,29,20000,0
100860,1,3,1,33,20000,1
100861,2,3,1,34,60000,1
100862,1,2,1,49,50000,0
100863,1,1,1,42,300000,0
100864,2,3,1,55,30000,1
100865,2,2,1,25,270000,0
100866,1,3,2,30,100000,0
100867,1,2,2,43,240000,1
100868,2,1,2,35,110000,0
100869,1,1,1,61,230000,0
