"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_1","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default"
"150000","2","1","2","29","2","0","0","0","0","0","46224","34993.0","31434.0","26518","21042","16540.0","1600.0","1718.0","1049.0","1500.0","2000.0","5000.0","0"
"180000","2","3","1","34","0","0","0","-1","-1","-1","16386","15793.0","8441.0","7142","-679","8321.0","8500.0","1500.0","7500.0","679.0","9000.0","2000.0","0"
"180000","2","2","1","34","0","0","0","0","0","0","175886","173440.0","172308.0","168608","132202","129918.0","8083.0","7296.0","5253.0","4814.0","4816.0","3800.0","0"
"200000","2","1","2","34","-1","3","2","2","2","2","1587","1098.0","782.0","1166","700","1414.0","0.0","0.0","700.0","0.0","1200.0","0.0","0"
"400000","2","2","1","29","0","0","0","0","0","0","400134","398857.0","404205.0","360199","356656","364089.0","17000.0","15029.0","30000.0","12000.0","12000.0","23000.0","0"
"500000","2","3","1","28","0","0","0","0","0","0","22848","23638.0","18878.0","14937","13827","15571.0","1516.0","1300.0","1000.0","1000.0","2000.0","2000.0","1"
"70000","1","2","1","39","0","0","0","0","0","-1","70800","72060.0","69938.0","16518","14096","830.0","4025.0","2095.0","1000.0","2000.0","3000.0","0.0","0"
"50000","2","2","1","46","0","0","0","-2","-2","-2","28718","29166.0","0.0","0","0","0.0","1000.0","0.0","0.0","0.0","0.0","0.0","1"
"130000","2","2","1","51","-1","-1","-2","-2","-1","-1","99","0.0","0.0","0","2353","0.0","0.0","0.0","0.0","2353.0","0.0","0.0","0"
"200000","1","1","1","57","-2","-2","-2","-1","2","2","152519","148751.0","144076.0","8174","8198","7918.0","0.0","0.0","8222.0","300.0","0.0","1000.0","1"
"10000","1","2","1","56","2","2","2","0","0","0","2097","4193.0","3978.0","4062","4196","4326.0","2300.0","0.0","150.0","200.0","200.0","160.0","1"
"130000","2","3","2","29","1","-2","-2","-1","2","-1","-190","-9850.0","-9850.0","10311","10161","7319.0","0.0","0.0","20161.0","0.0","7319.0","13899.0","0"
"80000","1","1","2","31","-1","-1","-1","-1","-1","-1","780","0.0","390.0","390","390","390.0","0.0","390.0","390.0","390.0","390.0","390.0","0"
"320000","1","2","2","29","2","2","2","2","2","2","58267","59246.0","60184.0","58622","62307","63526.0","2500.0","2500.0","0.0","4800.0","2400.0","1600.0","1"
"200000","2","2","1","32","-1","-1","-1","-1","2","-1","9076","5787.0","-684.0","5247","3848","3151.0","5818.0","15.0","9102.0","17.0","3165.0","1395.0","0"
"20000","1","2","2","24","0","0","2","0","0","0","14619","17216.0","16642.0","16976","17332","18543.0","2850.0","0.0","610.0","630.0","1500.0","0.0","0"
"50000","1","3","2","25","-1","0","0","0","0","0","42838","37225.0","36087.0","9636","9590","10030.0","1759.0","1779.0","320.0","500.0","1000.0","1000.0","0"
"300000","2","1","1","45","-1","-1","-1","-1","-1","-1","291","291.0","291.0","291","291","291.0","291.0","291.0","291.0","291.0","291.0","291.0","0"
"30000","2","2","2","22","0","0","0","0","0","0","28387","29612.0","30326.0","28004","26446","6411.0","1686.0","1400.0","560.0","3000.0","1765.0","0.0","1"
"240000","2","2","2","44","1","-2","-2","-2","-2","-2","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1"
"470000","2","3","3","33","0","0","0","0","0","0","165254","157784.0","162702.0","69923","29271","29889.0","6400.0","7566.0","3000.0","960.0","1000.0","3000.0","0"
"360000","2","1","2","26","0","0","0","0","0","-1","23411","27796.0","30400.0","33100","180000","196.0","4796.0","3400.0","3100.0","146900.0","196.0","2963.0","0"
"60000","1","3","2","30","0","0","0","0","0","0","26324","27471.0","28108.0","21993","19899","19771.0","1576.0","1213.0","648.0","768.0","1140.0","0.0","1"
"400000","2","2","1","44","0","0","2","0","0","0","131595","139060.0","126819.0","104430","104990","94058.0","10700.0","3.0","3050.0","3000.0","3200.0","2800.0","0"
"50000","2","3","2","49","0","0","0","0","0","0","48909","47863.0","21489.0","20414","19342","19482.0","1676.0","1302.0","700.0","699.0","849.0","826.0","0"
"160000","1","2","2","33","0","0","0","0","0","0","130028","107808.0","71934.0","118418","118407","120418.0","4400.0","3547.0","80000.0","4500.0","4800.0","4500.0","0"
"360000","2","1","1","45","-1","-1","2","0","-1","-1","390","1170.0","780.0","390","390","390.0","1170.0","0.0","0.0","390.0","390.0","390.0","1"
"160000","2","2","2","32","0","0","0","0","0","-1","3826","4751.0","6604.0","8604","7072","766.0","1147.0","2000.0","2000.0","0.0","766.0","2303.0","0"
"130000","2","1","1","35","0","0","0","-1","-1","-1","81313","117866.0","17740.0","1330","7095","1190.0","40000.0","5000.0","1330.0","7095.0","1190.0","2090.0","0"
"200000","1","1","1","53","2","2","2","2","2","2","138180","140774.0","142460.0","144098","147124","149531.0","6300.0","5500.0","5500.0","5500.0","5000.0","5000.0","1"
"280000","2","1","2","39","-1","-1","-1","0","0","-2","7524","0.0","3968.0","3868","0","0.0","0.0","3968.0","0.0","0.0","0.0","0.0","0"
"100000","2","1","2","27","-2","-2","-2","-2","-2","-2","-2000","5555.0","0.0","0","0","0.0","7555.0","0.0","0.0","0.0","0.0","0.0","0"
"160000","2","2","1","37","-1","-1","-1","-1","-1","-2","880","1602.0","840.0","840","0","0.0","1602.0","840.0","840.0","0.0","0.0","7736.0","0"
"60000","2","2","2","23","0","0","0","0","0","0","45648","46850.0","47214.0","19595","19209","19323.0","1937.0","1301.0","682.0","690.0","816.0","835.0","0"
"90000","1","2","2","35","0","0","0","0","0","0","83725","85996.0","87653.0","35565","30942","30835.0","3621.0","3597.0","1179.0","1112.0","1104.0","1143.0","0"
"360000","1","1","1","43","-1","-1","-1","-1","-1","0","3967","8322.0","3394.0","6451","26370","9956.0","8339.0","3394.0","12902.0","27000.0","0.0","68978.0","0"
"50000","2","3","1","22","0","0","0","0","0","0","18722","18160.0","16997.0","13150","8866","7899.0","1411.0","1194.0","379.0","281.0","321.0","197.0","0"
"140000","1","1","2","32","-2","-2","-2","-2","-2","-2","672","10212.0","850.0","415","100","1430.0","10212.0","850.0","415.0","100.0","1430.0","0.0","0"
"380000","2","1","2","30","-2","-2","-1","0","0","0","-81","-303.0","32475.0","32891","33564","34056.0","223.0","33178.0","1171.0","1197.0","1250.0","5000.0","0"
"480000","1","1","1","63","0","0","0","2","2","0","422069","431342.0","479432.0","487066","471145","469961.0","16078.0","55693.0","17000.0","0.0","18000.0","24200.0","0"
"50000","2","3","2","22","0","0","0","0","0","0","44698","42254.0","38347.0","32496","23477","24094.0","1767.0","1362.0","1002.0","840.0","995.0","904.0","1"
"60000","2","2","2","26","2","2","2","2","2","0","56685","55208.0","59175.0","60218","55447","55305.0","0.0","5000.0","2511.0","6.0","3000.0","3000.0","0"
"80000","2","2","1","36","-1","-1","-1","-1","-1","-1","6108","2861.0","3277.0","3319","1150","1150.0","2861.0","3279.0","3319.0","1150.0","1150.0","1035.0","0"
"350000","1","1","2","52","-1","-1","-1","-1","-1","-1","713","2272.0","722.0","867","1150","5263.0","2272.0","722.0","867.0","1150.0","5263.0","5011.0","0"
"130000","1","2","2","38","0","0","0","-1","-1","-1","171438","178382.0","39940.0","120483","44127","126568.0","10908.0","0.0","133657.0","4566.0","133841.0","4796.0","0"
"360000","1","2","1","35","1","-2","-2","-2","-2","-2","-103","-103.0","-103.0","-103","-103","-103.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"330000","2","1","1","31","0","0","2","0","0","0","105879","108431.0","105594.0","105896","106491","107289.0","9260.0","0.0","3593.0","4100.0","15794.0","0.0","0"
"50000","1","3","1","47","0","0","2","0","0","0","13244","14722.0","15181.0","15928","16671","17393.0","2000.0","1000.0","1000.0","1000.0","1000.0","1000.0","0"
"280000","1","2","1","41","2","2","2","2","2","3","135673","138532.0","134813.0","144401","152174","149415.0","6500.0","0.0","14254.0","14850.0","0.0","5000.0","0"
"100000","2","1","2","24","0","0","0","0","0","0","52128","52692.0","54477.0","56076","60100","59713.0","2000.0","2677.0","3076.0","5080.0","3000.0","2033.0","0"
"50000","1","2","2","41","0","0","0","0","0","0","19015","19294.0","20259.0","20274","20311","19957.0","1340.0","1305.0","700.0","718.0","724.0","684.0","0"
"240000","1","1","2","28","-1","-1","-1","-1","-1","-1","326","326.0","326.0","5676","476","326.0","326.0","326.0","5676.0","476.0","326.0","526.0","0"
"240000","2","2","2","38","0","0","0","0","-1","-1","50254","51445.0","53015.0","52479","1307","1203.0","2000.0","3000.0","3000.0","1307.0","1203.0","563.0","0"
"50000","1","3","2","37","2","2","2","3","2","2","46004","45976.0","48953.0","48851","49318","51143.0","1000.0","4035.0","1000.0","1400.0","2800.0","0.0","1"
"450000","1","1","1","40","1","-2","-2","-2","-2","-2","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1"
"110000","2","1","1","48","1","-2","-2","-2","-2","-2","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"310000","2","2","1","35","2","0","0","0","0","0","304991","311243.0","306314.0","258610","246491","198889.0","13019.0","11128.0","8407.0","8599.0","6833.0","5987.0","1"
"20000","1","1","2","27","0","0","0","0","0","0","19115","18962.0","19298.0","19378","19717","15630.0","1404.0","1130.0","600.0","861.0","313.0","0.0","0"
"180000","1","1","1","36","0","0","0","0","0","0","163736","116422.0","99278.0","95766","97753","95927.0","4655.0","2690.0","2067.0","2142.0","2217.0","1000.0","1"
"30000","2","1","2","23","1","-2","-2","-2","-1","-1","4000","5645.0","3508.0","-27","13744","5906.0","5645.0","3508.0","27.0","13771.0","5911.0","3024.0","0"
"240000","1","1","2","41","1","-1","-1","0","0","-1","95","2622.0","3301.0","3164","360","1737.0","2622.0","3301.0","0.0","360.0","1737.0","924.0","0"
"420000","1","2","1","34","0","0","0","0","0","0","253454","247743.0","229049.0","220951","210606","188108.0","9744.0","9553.0","7603.0","7830.0","7253.0","11326.0","0"
"330000","1","3","1","46","0","0","0","0","0","0","227389","228719.0","229644.0","227587","227775","228203.0","8210.0","8095.0","8025.0","8175.0","8391.0","8200.0","0"
"240000","1","2","1","34","0","0","0","2","2","2","10674","12035.0","13681.0","13269","14158","13891.0","1500.0","1800.0","0.0","1000.0","0.0","327.0","0"
"150000","1","1","2","27","0","0","0","0","0","0","17444","19342.0","22000.0","24614","27200","30229.0","2500.0","3000.0","3000.0","3000.0","3500.0","5000.0","0"
"210000","2","2","1","33","0","0","0","0","0","0","7166","7997.0","8792.0","9189","4404","5708.0","1500.0","1500.0","1000.0","500.0","2000.0","546.0","0"
"50000","2","3","1","51","-1","-1","-1","-1","-2","-2","752","300.0","5880.0","0","0","0.0","300.0","5880.0","0.0","0.0","0.0","0.0","1"
"240000","1","1","2","47","1","-2","-2","-2","-2","-2","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1"
"50000","1","2","2","23","1","2","2","2","0","0","10131","10833.0","20583.0","19996","19879","18065.0","1000.0","10000.0","400.0","700.0","800.0","600.0","0"
"170000","1","2","2","29","-2","-2","-2","-2","-2","-2","12159","10000.0","10000.0","10000","9983","15846.0","10000.0","10000.0","10000.0","9983.0","15863.0","10000.0","0"
"20000","1","1","2","29","-1","-1","-1","-1","0","-1","1199","15586.0","344.0","2340","6702","339.0","15586.0","344.0","2340.0","4702.0","339.0","330.0","0"
"50000","1","1","2","28","0","0","0","0","0","3","4999","5913.0","7315.0","9195","10624","10138.0","1000.0","1500.0","2000.0","1583.0","1100.0","0.0","0"
"170000","2","2","2","27","0","0","0","0","0","0","19269","20313.0","20852.0","17560","17918","9100.0","1661.0","1200.0","351.0","358.0","182.0","0.0","1"
"200000","1","1","2","34","1","2","0","0","0","0","197236","176192.0","93069.0","135668","132233","59875.0","8000.0","5000.0","55500.0","5000.0","5000.0","8500.0","0"
"80000","2","2","1","23","1","2","3","2","0","0","9168","10522.0","10205.0","9898","10123","12034.0","1650.0","0.0","0.0","379.0","2091.0","1.0","0"
"260000","2","1","1","60","1","-2","-1","-1","-1","-1","-1100","-1100.0","21400.0","0","969","869.0","0.0","22500.0","0.0","969.0","1000.0","0.0","0"
"140000","1","2","1","32","0","0","0","0","2","0","86627","78142.0","68336.0","64648","58319","55251.0","3455.0","3110.0","5000.0","0.0","2100.0","2602.0","0"
"80000","1","1","2","25","0","0","0","0","0","0","42444","55744.0","43476.0","41087","41951","31826.0","30000.0","3000.0","6000.0","8000.0","2000.0","14000.0","0"
"350000","1","1","2","41","1","-1","-1","-1","-1","-2","208","2906.0","1000.0","630","0","0.0","2906.0","1000.0","630.0","0.0","0.0","0.0","0"
"140000","1","1","1","34","0","0","0","0","0","0","23944","28049.0","32073.0","43129","47086","48699.0","5000.0","5000.0","11885.0","5000.0","3000.0","5504.0","0"
"200000","2","1","2","37","0","0","0","0","0","0","105420","102870.0","89643.0","90938","92505","94031.0","4000.0","3250.0","3250.0","3500.0","3560.0","5000.0","0"
"200000","2","3","2","30","0","0","0","0","0","0","196031","196143.0","189524.0","167163","146975","122324.0","7300.0","7108.0","7680.0","6200.0","5000.0","4500.0","0"
"50000","1","3","1","57","3","2","0","0","0","0","12854","12362.0","13447.0","13427","13711","14083.0","0.0","1600.0","500.0","500.0","600.0","600.0","0"
"30000","1","1","2","41","2","2","2","2","2","0","24357","27453.0","26718.0","28168","27579","28321.0","3500.0","0.0","2200.0","0.0","1200.0","1250.0","0"
"50000","1","2","2","27","2","-1","-1","-1","-1","2","390","390.0","780.0","216","1080","540.0","390.0","780.0","216.0","864.0","0.0","390.0","0"
"250000","2","1","1","34","0","0","2","0","0","0","141223","156858.0","151841.0","152803","155997","160220.0","17994.0","0.0","5469.0","5656.0","6811.0","3920.0","0"
"60000","2","2","1","46","0","0","0","0","0","0","21148","23803.0","24908.0","26034","26655","27756.0","3000.0","1500.0","1500.0","1000.0","1500.0","1500.0","0"
"110000","2","1","2","27","0","0","0","0","0","0","101640","104795.0","104855.0","74737","76058","77254.0","5500.0","3900.0","3000.0","2900.0","3000.0","2800.0","0"
"370000","1","1","2","50","-2","-2","-2","-2","-2","-2","6093","15130.0","8204.0","15398","4792","13453.0","15383.0","8204.0","15413.0","4792.0","13453.0","4699.0","0"
"100000","1","2","1","27","-1","2","2","0","0","0","102349","96847.0","58824.0","29336","22979","-246.0","3166.0","0.0","1330.0","1398.0","12.0","50000.0","0"
"90000","2","2","1","35","0","0","0","0","0","2","72112","73854.0","75526.0","77317","85852","88290.0","3500.0","3500.0","3652.0","10000.0","4000.0","0.0","0"
"50000","2","2","2","22","0","0","0","0","0","0","28040","29092.0","29366.0","27737","28318","28806.0","1510.0","1442.0","982.0","1017.0","1277.0","567.0","0"
"270000","1","2","2","37","0","0","0","0","0","0","37695","33397.0","30534.0","27598","26344","24641.0","5000.0","2000.0","3000.0","4000.0","3000.0","2000.0","0"
"300000","2","1","2","30","-1","-1","-1","-1","-1","-1","688","3280.0","0.0","4340","2672","800.0","3288.0","0.0","4340.0","2672.0","800.0","746.0","0"
"50000","2","2","2","22","-1","0","0","0","0","0","8567","15273.0","11650.0","7457","3115","7725.0","15000.0","1000.0","149.0","0.0","5000.0","10000.0","0"
"50000","2","1","2","24","1","-2","-2","-2","-2","-2","-709","-709.0","-709.0","-2898","-3272","-3272.0","0.0","0.0","0.0","0.0","0.0","0.0","1"
"360000","1","1","2","29","1","-2","-1","-1","-2","-2","0","0.0","77.0","0","0","0.0","0.0","77.0","0.0","0.0","0.0","0.0","0"
"80000","1","1","2","30","-2","-1","0","0","0","0","6187","100.0","600.0","1438","1919","5380.0","504.0","500.0","1000.0","500.0","3500.0","0.0","0"
"50000","1","2","2","30","1","2","0","0","0","2","48860","47801.0","48363.0","30221","22877","22361.0","0.0","1500.0","1000.0","2000.0","0.0","2000.0","0"
"80000","2","2","1","29","0","0","2","0","0","0","77883","81811.0","80250.0","61467","10662","11486.0","5800.0","1000.0","600.0","400.0","1000.0","0.0","0"
"240000","1","1","2","37","-1","-1","2","0","0","-1","12212","26578.0","25331.0","26605","26279","1256.0","15000.0","0.0","2000.0","0.0","1256.0","65935.0","0"
"80000","2","3","2","35","0","-1","0","0","0","0","49608","12412.0","14873.0","17364","17770","17460.0","12500.0","6500.0","3000.0","2000.0","3000.0","2000.0","0"
"500000","2","1","1","47","0","0","0","0","0","0","56422","110616.0","110340.0","122967","108834","70064.0","70010.0","30357.0","30000.0","20000.0","52183.0","20000.0","0"
"60000","2","2","1","24","0","0","0","0","0","0","58024","57891.0","48839.0","18971","19323","19395.0","2500.0","1600.0","3000.0","1000.0","737.0","2000.0","1"
"20000","1","2","2","25","0","0","0","0","0","-1","10642","11677.0","13070.0","12280","1615","1620.0","1200.0","1593.0","601.0","135.0","1824.0","0.0","0"
"100000","2","2","1","38","1","2","0","0","2","0","14483","13961.0","15323.0","16268","15868","16448.0","0.0","1600.0","1500.0","0.0","1000.0","1500.0","1"
"360000","2","1","2","32","1","-1","-1","-1","-1","-1","2616","57077.0","5287.0","68445","13881","16240.0","57087.0","5295.0","68454.0","13889.0","16250.0","38313.0","0"
"200000","2","3","2","47","2","2","2","2","2","2","199436","202947.0","193936.0","196186","200162","189915.0","8214.0","7000.0","6800.0","7134.0","0.0","6836.0","1"
"130000","2","2","1","34","1","-1","0","0","0","0","0","5396.0","10270.0","13576","13864","14636.0","5396.0","5000.0","3500.0","501.0","1000.0","2000.0","0"
"20000","2","2","2","31","1","5","4","4","3","2","21703","21087.0","21461.0","20835","20219","20487.0","0.0","1000.0","0.0","0.0","760.0","0.0","0"
"310000","1","1","2","32","0","0","0","0","0","0","59901","62147.0","62102.0","65875","60387","43328.0","10020.0","6031.0","10057.0","5028.0","5060.0","4223.0","0"
"60000","2","1","2","27","2","0","0","0","2","0","19625","20347.0","21669.0","23005","22499","22873.0","1342.0","1664.0","2000.0","0.0","900.0","846.0","1"
"180000","2","1","2","29","-1","-1","-1","-2","-1","0","11386","199.0","0.0","0","17227","17042.0","199.0","0.0","0.0","17227.0","341.0","5114.0","0"
"180000","2","1","2","24","-1","-1","2","0","0","-2","14670","22087.0","21282.0","10200","0","0.0","37867.0","0.0","200.0","0.0","0.0","0.0","0"
"50000","1","2","1","36","0","0","0","0","-1","-1","47790","18114.0","18250.0","-14","72","658.0","2000.0","1000.0","2000.0","500.0","1000.0","20011.0","0"
"50000","2","1","2","24","1","2","2","2","2","2","36166","37188.0","37680.0","38462","39228","40035.0","1900.0","1400.0","1700.0","1532.0","1600.0","0.0","1"
"150000","2","2","1","34","-2","-2","-2","-2","-2","-2","0","0.0","0.0","116","0","1500.0","0.0","0.0","116.0","0.0","1500.0","0.0","0"
"20000","2","1","2","22","0","0","0","0","-1","0","18553","19446.0","19065.0","8332","18868","19247.0","1500.0","1032.0","541.0","20000.0","693.0","1000.0","0"
"30000","2","3","2","22","1","2","2","0","0","0","29010","29256.0","28122.0","29836","1630","0.0","1000.0","85.0","1714.0","104.0","0.0","0.0","1"
"180000","2","1","1","38","-2","-2","-2","-2","-2","-2","750","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"140000","1","1","2","31","0","0","2","0","0","2","27123","27299.0","17985.0","20225","27407","10833.0","25000.0","0.0","3000.0","7800.0","0.0","2500.0","0"
"140000","2","1","2","26","-1","0","-1","-1","-1","-1","13424","18000.0","13001.0","5818","13506","487.0","10000.0","13001.0","5841.0","13506.0","487.0","7004.0","0"
"360000","2","2","1","48","0","0","0","0","0","0","226430","231878.0","234192.0","190211","173557","146511.0","9100.0","7300.0","5800.0","5600.0","5600.0","4100.0","0"
"20000","1","3","1","43","-1","-1","0","0","0","0","227","20351.0","20237.0","19339","19450","19337.0","22359.0","1305.0","1258.0","1459.0","3457.0","1700.0","0"
"100000","1","1","1","47","-1","-1","-1","-1","-1","-1","390","1473.0","390.0","390","390","0.0","1473.0","390.0","390.0","390.0","0.0","2380.0","0"
"210000","2","2","1","41","-1","-1","-1","-1","-1","-1","3088","1586.0","343.0","3763","877","0.0","1586.0","343.0","3763.0","877.0","0.0","419.0","1"
"80000","2","2","2","24","0","0","0","0","0","0","81625","81554.0","79599.0","49552","49509","49568.0","3200.0","3000.0","2038.0","2000.0","1800.0","1800.0","1"
